,MAIN DX HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,6804.0,3789.4,7.87,4
,MAIN DX HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,10295.6,5734.0,7.88,4
,MAIN DX HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,14287.2,7957.1,7.85,4
,MAIN DX HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,6997.3,3897.1,7.87,4
,MAIN DX HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,9900.0,5513.7,7.86,4
ANSI/AHRI ratings account for supply air fan heat and electric power.


Heating Coils

,,Type,Design Coil Load [Btu/h],Nominal Total Capacity [Btu/h],Nominal Efficiency [Btuh/Btuh]
,MAIN DX HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,,10774.79,3.69
,SUPP HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Heating:Electric,,8752.94,1.00
,MAIN DX HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,,4198.77,3.69
,SUPP HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Heating:Electric,,6806.94,1.00
,MAIN DX HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,,7835.77,3.69
,SUPP HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:Electric,,8755.33,1.00
,MAIN DX HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,,10458.65,3.69
,SUPP HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,,8755.12,1.00
,MAIN DX HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,,4246.24,3.69
,SUPP HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,,6806.69,1.00
,MAIN DX HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,,7594.93,3.69
,SUPP HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,,8752.70,1.00
,MAIN DX HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,,12977.71,3.69
,SUPP HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,,7874.64,1.00
,MAIN DX HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,,5659.01,3.69
,SUPP HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,,5738.73,1.00
,MAIN DX HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,,9698.45,3.69
,SUPP HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,,7877.09,1.00
,MAIN DX HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,,12592.13,3.69
,SUPP HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,,7876.49,1.00
,MAIN DX HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,,5589.49,3.69
,SUPP HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,,5738.13,1.00
,MAIN DX HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,,9304.78,3.69
,SUPP HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,,7874.05,1.00
,MAIN DX HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,,13684.80,3.69
,SUPP HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Electric,,10155.10,1.00
,MAIN DX HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,,6492.78,3.69
,SUPP HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:Electric,,7995.33,1.00
,MAIN DX HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,,9824.74,3.69
,SUPP HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:Electric,,10156.89,1.00
,MAIN DX HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,,13633.78,3.69
,SUPP HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:Electric,,10155.31,1.00
,MAIN DX HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,,6677.23,3.69
,SUPP HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:Electric,,7993.78,1.00
,MAIN DX HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,,9447.24,3.69
,SUPP HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:Electric,,10153.54,1.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_BACKROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_BACKROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_BACKROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_BACKROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_BACKROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_BACKROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_FRONTROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_FRONTROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_FRONTROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_BACKROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_BACKROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_BACKROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,,3319.56,3.00
Nominal values are gross at rated conditions, i.e., the supply air fan heat and electric power NOT accounted for.


Fans

,,Type,Total Efficiency [Btuh/Btuh],Delta Pressure [psi],Max Air Flow Rate [ft3/min],Rated Electricity Rate [W],Rated Power Per Max Air Flow Rate [W-min/ft3],Motor Heat In Air Fraction,Fan Energy Index,End Use Subcategory,Design Day Name for Fan Sizing Peak,Date/Time for Fan Sizing Peak
,OASUPPLYFAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OASUPPLYFAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,OAEXHAUSTFAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,0.60,0.03,44.99,8.04,0.18,0.00,17.66,Ventilation,,
,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.50,0.06,404.17,152.45,0.38,1.00,2.36,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.50,0.06,157.50,59.41,0.38,1.00,4.14,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.50,0.06,293.93,110.87,0.38,1.00,2.79,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.50,0.06,392.31,147.98,0.38,1.00,2.40,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.50,0.06,159.28,60.08,0.38,1.00,4.11,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.50,0.06,284.89,107.46,0.38,1.00,2.84,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.50,0.06,486.81,183.62,0.38,1.00,2.17,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.50,0.06,212.27,80.07,0.38,1.00,3.40,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.50,0.06,363.80,137.22,0.38,1.00,2.49,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.50,0.06,472.34,178.16,0.38,1.00,2.20,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.50,0.06,209.67,79.08,0.38,1.00,3.42,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.50,0.06,349.03,131.65,0.38,1.00,2.55,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,0.50,0.06,513.33,193.62,0.38,1.00,2.12,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,0.50,0.06,243.55,91.87,0.38,1.00,3.12,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,0.50,0.06,368.53,139.01,0.38,1.00,2.48,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,0.50,0.06,511.42,192.90,0.38,1.00,2.12,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,0.50,0.06,250.47,94.48,0.38,1.00,3.07,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,0.50,0.06,354.37,133.67,0.38,1.00,2.53,General,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,0.70,0.01,160.01,10.79,0.07,1.00,11.80,General,,


Pumps

,,Type,Control,Head [psi],Water Flow [gal/min],Electricity Rate [W],Power Per Water Flow Rate [W-min/gal],Motor Efficiency [Btuh/Btuh],End Use Subcategory
,MAINS PRESSURE_UNIT1_FRONTROW_BOTTOMFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT2_FRONTROW_BOTTOMFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT3_FRONTROW_BOTTOMFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT1_BACKROW_BOTTOMFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT2_BACKROW_BOTTOMFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT3_BACKROW_BOTTOMFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT1_FRONTROW_MIDDLEFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT2_FRONTROW_MIDDLEFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT3_FRONTROW_MIDDLEFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT1_BACKROW_MIDDLEFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT2_BACKROW_MIDDLEFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT3_BACKROW_MIDDLEFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT1_FRONTROW_TOPFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT2_FRONTROW_TOPFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT3_FRONTROW_TOPFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT1_BACKROW_TOPFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT2_BACKROW_TOPFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General
,MAINS PRESSURE_UNIT3_BACKROW_TOPFLOOR,Pump:VariableSpeed,Intermittent,0.00,7.815904,0.00,0.00,1.00,General


Service Water Heating

,,Type,Storage Volume [ft3],Input [Btu/h],Thermal Efficiency [Btuh/Btuh],Recovery Efficiency [Btuh/Btuh],Energy Factor
,WATER HEATER_UNIT1_FRONTROW_BOTTOMFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT2_FRONTROW_BOTTOMFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT3_FRONTROW_BOTTOMFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT1_BACKROW_BOTTOMFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT2_BACKROW_BOTTOMFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT3_BACKROW_BOTTOMFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT1_FRONTROW_MIDDLEFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT2_FRONTROW_MIDDLEFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT3_FRONTROW_MIDDLEFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT1_BACKROW_MIDDLEFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT2_BACKROW_MIDDLEFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT3_BACKROW_MIDDLEFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT1_FRONTROW_TOPFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT2_FRONTROW_TOPFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT3_FRONTROW_TOPFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
