Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2022.03.11 12:46
Tabular Output Report in Format: ,Comma

Building:,US+MF+CZ5B+gasfurnace+crawlspace+IECC_2021
Environment:,ANNUAL ** Denver Centennial  Golden   Nr CO USA TMY3 WMO#=724666

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [ft2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [ft3],Multipliers,Above Ground Gross Wall Area [ft2],Underground Gross Wall Area [ft2],Window Glass Area [ft2],Opening Area [ft2],Lighting [Btu/h-ft2],People [ft2 per person],Plug and Process [Btu/h-ft2]
,CRAWLSPACE,7794.39,No,Yes,19513.17,1.00,185.02,740.10,0.00,0.00,0.0000,,0.0000
,BREEZEWAY,1798.16,No,Yes,30553.25,1.00,0.00,0.00,0.00,0.00,0.0000,,0.0000
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,ATTIC,7802.71,No,Yes,52795.56,1.00,881.37,0.00,0.00,0.00,0.0000,,0.0000
,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,Total,39005.22,,,286601.37,,16363.00,740.10,2126.74,2126.74,0.3230,1083.48,2.4729
,Conditioned Total,21609.96,,,183739.38,,15296.60,0.00,2126.74,2126.74,0.5831,600.28,4.4634
,Unconditioned Total,17395.26,,,102861.98,,1066.39,740.10,0.00,0.00,0.0000,,0.0000
,Not Part of Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,


Space Summary

,,Area [ft2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Multipliers,Zone Name,Space Type,Radiant/Solar Enclosure Name,Lighting [Btu/h-ft2],People [ft2 per person],Plug and Process [Btu/h-ft2],Tags
,CRAWLSPACE,7794.39,No,Yes,1.00,CRAWLSPACE,GENERAL,CRAWLSPACE,0.0000,0.00,0.0000,
,BREEZEWAY,1798.16,No,Yes,1.00,BREEZEWAY,GENERAL,BREEZEWAY,0.0000,0.00,0.0000,
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
