Date/Time,Heating:Electricity [J](Hourly) 
 01/10  14:00:00,720000.0 
 01/10  15:00:00,720000.0 
 01/10  16:00:00,720000.0 
 01/10  17:00:00,720000.0 
 01/10  18:00:00,720000.0 
 01/10  19:00:00,2798565.9865813744 
 01/10  20:00:00,3040144.3559221383 
 01/10  21:00:00,2109053.856241891 
 01/10  22:00:00,2413439.625674844 
 01/10  23:00:00,3501233.2244722266 
 01/10  24:00:00,2532908.7128775995 
 01/11  01:00:00,1886361.5637948061 
 01/11  02:00:00,2775164.3037473215 
 01/11  03:00:00,2737696.517840566 
 01/11  04:00:00,3329619.950207445 
 01/11  05:00:00,3858326.264549512 
 01/11  06:00:00,4256931.96875817 
 01/11  07:00:00,3851126.271241913 
 01/11  08:00:00,3777788.7307941373 
 01/11  09:00:00,2057505.518830001 
 01/11  10:00:00,597080.600317108 
 01/11  11:00:00,636465.6883927316 
 01/11  12:00:00,539747.1678705006 
 01/11  13:00:00,0.0 
 01/11  14:00:00,0.0 
 01/11  15:00:00,0.0 
 01/11  16:00:00,0.0 
 01/11  17:00:00,410084.57227365393 
 01/11  18:00:00,1016368.8584717494 
 01/11  19:00:00,2728350.901889028 
 01/11  20:00:00,2490123.3255552156 
 01/11  21:00:00,1857311.5740782288 
 01/11  22:00:00,1780138.0390296248 
 01/11  23:00:00,3086383.441174609 
 01/11  24:00:00,2637868.148225191 
 01/12  01:00:00,2067880.7318044626 
 01/12  02:00:00,2832446.504956651 
 01/12  03:00:00,3015810.999777812 
 01/12  04:00:00,3584111.302542216 
 01/12  05:00:00,3920413.157124145 
 01/12  06:00:00,3821829.074408898 
 01/12  07:00:00,4222339.569552686 
 01/12  08:00:00,4671710.835861294 
 01/12  09:00:00,3257188.8270677077 
 01/12  10:00:00,2542373.360996982 
 01/12  11:00:00,3221042.9265792985 
 01/12  12:00:00,3307312.764149731 
 01/12  13:00:00,2310623.225188633 
 01/12  14:00:00,1110716.932087698 
 01/12  15:00:00,1050186.163052825 
 01/12  16:00:00,2122096.6918970933 
 01/12  17:00:00,2119320.3708372824 
 01/12  18:00:00,2791327.9014908094 
 01/12  19:00:00,6535731.974753151 
 01/12  20:00:00,7625743.037886275 
 01/12  21:00:00,5741038.127316207 
 01/12  22:00:00,5850988.865775224 
 01/12  23:00:00,8958491.066623602 
 01/12  24:00:00,7703214.719015102 
 01/13  01:00:00,4811906.680680934 
 01/13  02:00:00,5332609.818031812 
 01/13  03:00:00,5216394.514693019 
 01/13  04:00:00,5677028.04821643 
 01/13  05:00:00,6790294.394112308 
 01/13  06:00:00,5526300.418310117 
 01/13  07:00:00,8686610.526809087 
 01/13  08:00:00,6655845.644798216 
 01/13  09:00:00,3862057.606972901 
 01/13  10:00:00,4413096.569548246 
 01/13  11:00:00,4766763.827612136 
 01/13  12:00:00,3605398.4637915213 
 01/13  13:00:00,3472081.021050562 
 01/13  14:00:00,3056286.2313698446 
 01/13  15:00:00,3568548.5996245453 
 01/13  16:00:00,1600394.1002426855 
 01/13  17:00:00,1870178.3145619626 
 01/13  18:00:00,3467301.3035903266 
 01/13  19:00:00,8631297.365905609 
 01/13  20:00:00,9404905.715631403 
 01/13  21:00:00,7512953.914106792 
 01/13  22:00:00,8358963.99881749 
 01/13  23:00:00,12697366.873979194 
 01/13  24:00:00,11341762.594231663 
 01/14  01:00:00,6951896.647253547 
 01/14  02:00:00,8551125.153063074 
 01/14  03:00:00,8888804.676460262 
 01/14  04:00:00,10782695.747752633 
 01/14  05:00:00,10865006.468112651 
 01/14  06:00:00,10678947.483987276 
 01/14  07:00:00,12697257.253182936 
 01/14  08:00:00,8595161.160000144 
 01/14  09:00:00,3307183.472460849 
 01/14  10:00:00,2947953.844672122 
 01/14  11:00:00,3219972.7983777877 
 01/14  12:00:00,2535615.042803286 
 01/14  13:00:00,1475742.339286563 
 01/14  14:00:00,731287.899374699 
 01/14  15:00:00,0.0 
 01/14  16:00:00,0.0 
 01/14  17:00:00,360000.0 
 01/14  18:00:00,1316427.5998526989 
 01/14  19:00:00,2631295.1431567175 
 01/14  20:00:00,2535654.683470749 
 01/14  21:00:00,2242912.113655367 
 01/14  22:00:00,2653033.2311636982 
 01/14  23:00:00,2540353.9316340424 
 01/14  24:00:00,3183997.131674274 
 01/15  01:00:00,1882677.9469023393 
 01/15  02:00:00,2164444.460761344 
 01/15  03:00:00,2303452.2773377066 
 01/15  04:00:00,2517791.4202140607 
 01/15  05:00:00,2793001.3227780415 
 01/15  06:00:00,3563239.9064750234 
